tw;asia
ru;europe
ie;europe
eg;africa
il;europe
dk;europe
sa;asia
cl;southamerica
lb;asia
de;europe
qa;asia
fr;europe
lu;europe
mt;europe
at;europe
jo;asia
br;southamerica
pl;europe
no;europe
hu;europe
in;asia
au;australasia
pt;europe
co;southamerica
uk;europe
it;europe
jp;asia
nz;australasia
nl;europe
ch;europe
fi;europe
ro;europe
tr;europe
za;africa
ar;southamerica
ca;northamerica
ir;asia
be;europe
cz;europe
cy;europe
th;asia
bd;asia
se;europe
ph;asia
cn;asia
kr;asia
es;europe
sg;asia
my;asia
ee;europe
pk;asia
ae;asia
gr;europe
hk;asia
us;northamerica
