id;label
vision;Computer Vision
ai;Artificial Intelligence
nlp;Natural language Processing
ml;Machine Learning
ir;Information Retrieval
architecture;Computer Hardware and Architecture
networks;Computer Networks and Communications
security;Computer Security and Cryptography
databases;Databases & Information Systems
hpc;High-performance computing
mobile+web;Web, Mobile & Multimedia Technologies
metrics;Measurement & perf. analysis
os;Operating systems
pl;Programming languages
se;Software engineering
da;Design automation
embedded;Embedded & real-time systems
math;Computational Theory and Mathematics
bio;Biomedical & Medical Engineering
graphics;Computer graphics
eco;Economics & computation
hci;Human-computer interaction
robotics;Robotics
vis;Visualization
